label,sentence
0,我儿8个半月，感冒后发烧流鼻涕，在医院打了两天吊瓶针不烧了，第三天打针后又有点咳嗽早上厉害。
0,经常性感冒，流鼻涕。
0,小儿发烧感冒，眼角出现紫斑，腋下也有，全身都有，时间久了，变成死疤退去。孩子年龄1岁半
0,我家孩子81天了今天早晨发现他有点打喷嚏，咳嗽。流鼻涕精神挺好吃奶也好大便也正常体温正常请问是不是感冒是的话吃什么
0,王医生你好：我儿子今年12岁，一直以来经常性感冒，有时会伴有发烧的情形，请问如何治疗？
0,你好医生，我的孩子2岁了，感冒流鼻涕眼疼头痛，不发烧，医院的传染病太多我不想带他去医院，你看他这种情况可以在家治愈吗，我该怎么办，吃什么药好呢，注意些什么呢，谢谢
0,我们小孩这两天又是鼻塞又是咳嗽，眼屎不停地往出流。
0,5个多月的宝宝，没有发烧，一直有些鼻塞，由于这两天天气突然转冷，眼眶里不断有泪水。请问，这样怎么办?
0,流清水鼻涕，打喷嚏
0,小儿两岁发烧到39度同时伴眼睛分泌大量黄色分泌物流黄粘稠鼻涤还有咽红，吃了一天咽扁颗粒和克感敏
0,小儿25个月，感冒很严重，流清水鼻涕，打喷嚏，有鼻炎，晚上和白天都鼻塞，时常用嘴呼吸，吃了头孢丙烯干混悬剂，和复方甲麻口服溶液二天，不见好转，小儿以前有哮喘，我想给他加点盐酸羟甲唑啉喷雾剂可以吗
0,你好，我孩子四岁多了，爱感冒，我可以给他吃安利的儿童多种营养片吗，还是喝点牛初乳
0,我儿子长期流鼻涕我该怎么办
0,我家小孩这两天流鼻涕，打喷嚏，有时还咳嗽，我想问能不能吃“小儿氨酚黄娜敏颗粒”如果能，那该吃多少？我家小孩现在4个月大
0,小儿经常咳嗽(发烧)从1-3几乎每个月都有，请问这是怎么一回事.
0,我儿子出生两个月了，现在已感冒有十天左右，有时鼻塞，咳嗽，没发热，请问有什么好办法，谢谢你答复
0,小儿三岁了，前天感冒了，症壮就是有点咳嗽，鼻塞。
0,我女儿她前3天感冒有鼻涕，痰吃了医生开的药好些，但是怎么睡觉鼻子还会有呼呼响好像有痰在里面，平时一点事没有哦。昨晚我煲了雪梨冰塘给她喝有效，喝那些清肺化痰液没效果。我该怎么做？？？
0,宝宝两个月大。鼻塞，咳嗽。
0,我宝宝今天洗澡有点感冒 喷涕鼻塞 请问吃什么药效果好一点
1,我一直有贫血的毛病，昨天在办公室蹲着起来的时候，眼睛发黑还差点摔倒，想补血，请问贫血吃什么补血效果最好？
1,孩子总是腿没劲，是什么原因，10岁
1,血压低贫血头晕怎么办
1,眼睛会出现眼睛发黄，睑结膜发白，面色发白，双眼无神等临床症状。
1,贫血晕倒怎么办
